Ranking,Name,Date,Sales,Audience,Screen,Showtime,Rank,Genre,MainActor,,Search,Logsearch,Season,Year
1,명량,2014-07-30,135753884310,17615166,1587,188666,15,사극,"최민식,류승룡,조진웅",,626000,5.7965743332,여름,2014
2,신과함께-죄와 벌,2017-12-20,115699634137,14410931,1912,213258,12,판타지,"하정우,차태현,주지훈",,5310000,6.7250945211,겨울,2017
3,국제시장,2014-12-17,110937282730,14262766,1044,212680,12,드라마,"황정민,오달수,김윤진",,43100000,7.6344772702,겨울,2014
4,베테랑,2015-08-05,105169264250,13414200,1115,199240,15,액션,"황정민,유아인,유해진",,43100000,7.6344772702,여름,2015
5,도둑들,2012-07-25,93667250500,12983841,1091,155409,15,액션,"김윤석,김혜수,이정재",,7040000,6.8475726591,여름,2012
6,7번방의 선물,2013-01-23,91433282670,12811435,866,166819,15,드라마,"류승룡,박신혜,오달수",,116000,5.0644579892,겨울,2013
7,암살,2015-07-22,98466287781,12706483,1519,175211,15,사극,"전지현,하정우,이정재",,603000,5.7803173121,여름,2015
8,"광해, 왕이 된 남자",2012-09-13,88909386769,12323595,1001,203447,15,사극,"이병현,류승룡,한효주",,244000,5.3873898263,가을,2012
9,택시운전사,2017-08-02,95857172649,12186865,1906,184127,15,드라마,"송강호,류준열,유해진",,492000,5.6919651028,여름,2017
10,부산행,2016-07-20,93182579048,11566862,1788,151350,15,액션,"공유,마동석,정유미",,296000,5.4712917111,여름,2016
11,변호인,2013-12-18,82872378788,11374879,925,152279,15,드라마,"송강호,곽도언,임시완",,476000,5.6776069527,겨울,2013
12,해운대,2009-07-22,81025841000,11324561,764,154281,12,재난,"설경구,하지원,박중훈",,575000,5.7596678447,여름,2009
13,괴물,2006-07-27,66716119300,10917224,647,113103,12,재난,"송강호,변희봉,배두나",,688000,5.8375884382,여름,2006
14,왕의 남자,2005-12-29,66015436400,10513715,313,111176,15,사극,"정진영,감우성,이준기",,2500000,6.3979400087,겨울,2005
15,검사외전,2016-02-03,77320403264,9707581,1812,153532,15,액션,"황정민,강동원,이성민",,208000,5.318063335,겨울,2016
16,설국열차,2013-08-01,67012453200,9350351,1128,124864,15,판타지,"송강호,크리스애반스,고아성",,348000,5.5415792439,여름,2013
17,관상,2013-09-11,66009826500,9135806,1240,125107,15,사극,"송강호,이정재,백윤식",,491000,5.6910814921,가을,2013
18,해적: 바다로 간 산적,2014-08-06,66372140706,8666208,910,133354,12,판타지,"하지원,손예진,김남길",,522000,5.717670503,여름,2014
19,수상한 그녀,2014-01-22,62715946849,8659725,1027,136993,15,드라마,"심은경,나문희,성동일",,479000,5.6803355134,겨울,2014
20,과속스캔들,2008-12-03,53801341400,8223342,408,145556,12,드라마,"차태현,박보영,왕석현",,178000,5.2504200023,겨울,2008
21,국가대표,2009-07-29,57570773000,8035181,570,131671,12,드라마,"하정우,성동일,김지석",,37200000,7.5705429399,여름,2009
22,디워,2007-08-01,49340084700,7855474,622,96439,12,판타지,,,171000,5.2329961104,여름,2007
23,공조,2017-01-18,63783138326,7817631,1392,142989,15,액션,"현빈,유해진,김주혁",,3240000,6.5105450102,겨울,2017
24,히말라야,2015-12-16,60175363015,7759761,1095,142715,12,드라마,"황정민,정우,조성하",,1030000,6.0128372247,겨울,2015
25,밀정,2016-09-07,61270079831,7500457,1444,138162,15,사극,"송강호,공유,한지민",,396000,5.5976951859,가을,2016
26,최종병기 활,2011-08-10,55827861500,7470633,615,130054,15,액션,"박해일,류승룡,문채원",,159000,5.2013971243,여름,2011
27,써니,2011-05-04,54038534700,7363139,546,149154,15,드라마,"심은경,유호정,강소라",,547000,5.7379873263,봄,2011
28,1987,2017-12-27,58166310145,7231770,1299,138217,15,사극,"김태리,김윤석,하정우",,767000,5.8847953639,겨울,2017
29,베를린,2013-01-30,52357124637,7166532,894,111759,15,액션,"하정우,류승범,한석규",,529000,5.723455672,겨울,2013
30,마스터,2016-12-21,58051681265,7147924,1501,126862,15,액션,"이병헌,강동원,김우빈",,955000,5.9800033716,겨울,2016
31,터널,2016-08-10,57530028417,7120780,1105,113214,12,재난,"하정우,배두나,오달수",,642000,5.8075350281,여름,2016
32,내부자들,2015-11-19,56599221057,7072507,1129,152636,19,드라마,"이병헌,조승우,백윤식",,340000,5.531478917,가을,2015
33,인천상륙작전,2016-07-27,55105606303,7050475,1049,97032,12,사극,"이정재,이범수,리암니슨",,202000,5.3053513694,여름,2016
34,럭키,2016-10-13,56445023256,6975571,1234,155990,15,드라마,"류해진,이준,조윤희",,601000,5.778874472,가을,2016
35,은밀하게 위대하게,2013-06-05,48700887413,6959083,1341,117462,15,액션,"김수현,박기웅,손현주",,155000,5.1903316982,여름,2013
36,범죄도시,2017-10-03,56322098349,6880535,1315,149383,19,액션,"마동석,윤계상,조재윤",,569000,5.7551122664,가을,2017
37,곡성,2016-05-12,55864308382,6879989,1485,130332,15,공포,"곽도언,황정민,천우희",,354000,5.549003262,봄,2016
38,화려한 휴가,2007-07-25,44098824600,6855433,551,96536,12,사극,"김상경,안성기,이요원",,221000,5.3443922737,여름,2007
39,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,43755789000,6686054,824,93584,15,판타지,"정우성,송강호,이병헌",,173000,5.2380461031,여름,2008
40,늑대소년,2012-10-31,46594814400,6655068,854,109166,15,맬로,"박보영,송중기,장영남",,320000,5.5051499783,가을,2012
41,군함도,2017-07-26,50510565168,6592151,2027,108775,15,사극,"송중기,황정민,소지섭",,312000,5.494154594,여름,2017
42,웰컴 투 동막골,2005-08-04,40329355500,6436900,356,72129,12,드라마,"정재영,신하균,강혜정",,62300,4.7944880467,여름,2005
43,사도,2015-09-16,48846045501,6247651,1210,124264,12,사극,"송강호,유아인,문근영",,594000,5.773786445,가을,2015
44,아저씨,2010-08-04,47103765000,6178617,501,109888,19,액션,"원빈,김새론,김태훈",,2900000,6.4623979979,여름,2010
45,미녀는 괴로워,2006-12-14,36292848900,6081480,418,87141,12,드라마,"김아중,성동일,주진모",,106000,5.0253058653,겨울,2006
46,전우치,2009-12-23,44093407200,6065474,612,102357,12,액션,"강동원,임수정,김윤석",,231000,5.3636119799,겨울,2009
47,연평해전,2015-06-24,45567290830,6044956,1013,114487,12,사극,"진구,김무열,이현우",,283000,5.4517864355,여름,2015
48,타짜,2006-09-28,36182617500,5685715,492,76887,19,판타지,"조승우,김혜수,김윤식",,902000,5.9552065375,가을,2006
49,청년경찰,2017-08-09,44381150516,5653270,1102,118545,15,액션,"강하늘,박서준,성동일",,12800000,7.1072099696,여름,2017
50,숨바꼭질,2013-08-14,39602995500,5604106,779,88066,15,공포,"손현주,문정희,전미선",,315000,5.4983105538,여름,2013
51,덕혜옹주,2016-08-03,44395967609,5599665,964,97323,12,사극,"손예진,박해일,라미란",,169000,5.2278867046,여름,2016
52,더 테러 라이브,2013-07-31,39869706381,5584139,809,93488,15,재난,"하정우,이경영",,473000,5.6748611407,여름,2013
53,감시자들,2013-07-03,39382418179,5508299,949,100310,15,액션,"정우성,한효주,설경구",,123000,5.0899051114,여름,2013
54,검은 사제들,2015-11-05,42410940592,5443049,1109,131178,15,판타지,"강동원,김윤석,박소담",,161000,5.206825876,가을,2015
55,의형제,2010-02-04,40153817000,5416829,569,118250,15,액션,"강동원,송강호",,183000,5.2624510897,겨울,2010
56,더 킹,2017-01-18,43487099535,5317383,1310,107978,15,드라마,"조인성,정우성,배성우",,344000,5.5365584426,겨울,2017
57,완득이,2011-10-20,38533831000,5311353,629,117850,12,드라마,"김윤석,유아인,박수영",,74100,4.869818208,가을,2011
58,타워,2012-12-25,37654858000,5181014,638,81147,12,재난,"설경구,손예진,김상경",,3320000,6.5211380837,겨울,2012
59,투사부일체,2006-01-19,31959686000,5074314,407,54339,15,코믹,"정준호,김상중,정웅인",,55200,4.7419390777,겨울,2006
60,추격자,2008-02-14,33986959000,5046096,433,106805,19,액션,"하정우,김윤석,허영희",,265000,5.4232458739,겨울,2008
61,바람과 함께 사라지다,2012-08-08,34614720161,4909950,694,78594,12,사극,"차태현,오지오,민효린",,186000,5.2695129442,여름,2012
62,"님아, 그 강을 건너지 마오",2014-11-27,37356929079,4801873,806,93385,0,드라마,,,22600,4.3541084391,가을,2014
63,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,35841769500,4786259,634,84189,12,판타지,"김명민,오달수,한지민",,290000,5.4623979979,겨울,2011
64,군도: 민란의 시대,2014-07-23,36990394499,4775811,1394,67259,15,판타지,"하정우,강동원,이경영",,287000,5.4578818967,여름,2014
65,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36540327500,4720050,713,91892,19,액션,"하정우,최민식,조진웅",,539000,5.7315887652,겨울,2012
66,신세계,2013-02-21,34881330905,4682492,671,90581,19,액션,"이정재,황정민,최민식",,705000,5.848189117,겨울,2013
67,도가니,2011-09-22,35567476000,4662926,756,88345,19,드라마,"공유,정유미,장광",,234000,5.3692158574,가을,2011
68,내 아내의 모든 것,2012-05-17,34224467500,4598985,563,91777,15,맬로,"임수정,이선균,류승룡",,287000,5.4578818967,봄,2012
69,판도라,2016-12-07,36067195064,4584803,1184,100270,12,재난,"김남길,김주현,정진영",,516000,5.7126497016,겨울,2016
70,가문의 위기(가문의 영광2),2005-09-07,28622355500,4529876,351,61009,15,코믹,"신현준,김원희,김수미",,151000,5.1789769473,가을,2005
71,연가시,2012-07-05,32175400664,4515833,759,71928,15,재난,"김명민,문정희,김동완",,56500,4.7520484478,여름,2012
72,강철비,2017-12-14,35489666466,4452755,1426,80359,15,액션,"정우성,곽도언,김갑수",,439000,5.6424645202,겨울,2017
73,강철중: 공공의 적 1-1,2008-06-19,28638465100,4313102,707,74158,15,액션,"설경구,정재영",,84600,4.927370363,여름,2008
74,아가씨,2016-06-01,35219128991,4288750,1171,90380,19,성인,"김민희,조진웅,하정우",,7330000,6.8651039746,여름,2016
75,말아톤,2005-01-27,26285057000,4196859,238,59495,0,드라마,"조승우,김미숙,이기영",,433000,5.6364878964,겨울,2005
76,용의자,2013-12-24,30037521000,4131338,807,69124,15,액션,"공유,박희순,조성하",,4160000,6.6190933306,겨울,2013
77,건축학개론,2012-03-22,30238893900,4113446,593,106576,12,맬로,"배수지,한가인,이재훈",,432000,5.6354837468,봄,2012
78,댄싱퀸,2012-01-18,30130775500,4058225,544,80987,12,드라마,"엄정화,황정민",,215000,5.3324384599,겨울,2012
79,7급 공무원,2009-04-22,26380710000,4039891,475,90779,12,코믹,"김하늘,강지환,류승룡",,5530000,6.7427251313,봄,2009
80,우리 생애 최고의 순간,2008-01-10,26119898000,4018872,418,70724,0,두라마,"문소리,김정은,엄태웅",,837000,5.922725458,겨울,2008
81,꾼,2017-11-22,31313568795,4018341,1314,117420,15,액션,"현빈,유지태,배성우",,7150000,6.8543060418,가을,2017
82,타짜-신의 손,2014-09-03,32373120927,4015361,890,80584,19,액션,"탑,신세경,곽도언",,902000,5.9552065375,가을,2014
83,박수건달,2013-01-09,28379548569,3897969,603,60604,15,코믹,"박신양,김정태,엄지원",,82000,4.9138138524,겨울,2013
84,조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,3872015,825,80499,12,판타지,"김명민,오달수,이연희",,197000,5.2944662262,겨울,2015
85,역린,2014-04-30,29895031890,3849700,1054,83302,15,사극,"현빈,한지민,정재영",,160000,5.2041199827,봄,2014
86,남한산성,2017-10-03,31225419792,3849129,1229,71102,15,사극,"이병현,김윤석,박해일",,1100000,6.0413926852,가을,2017
87,쌍화점,2008-12-30,25411823400,3749034,532,72498,19,성인,"조인성,주진모,송지효",,195000,5.2900346114,겨울,2008
88,신기전,2008-09-04,24326406000,3728439,585,78464,15,액션,"정재영,한은정,허준호",,90900,4.9585638832,가을,2008
89,귀향,2016-02-24,27249801990,3587182,876,90288,15,사극,"강하나,최리,박지희",,1100000,6.0413926852,겨울,2016
90,신의 한 수,2014-07-03,28812027456,3566852,794,77110,19,액션,"정우성,이범수,이시영",,9060000,6.9571281977,여름,2014
91,태풍,2005-12-14,22209675300,3471150,481,47155,15,액션,"장동건,이정재,이미연",,4530000,6.656098202,겨울,2005
92,부러진 화살,2012-01-18,25938096000,3460212,530,71607,15,드라마,"안성기,박원상,나영희",,113000,5.0530784435,겨울,2012
93,끝까지 간다,2014-05-29,27007303900,3450305,645,84876,15,액션,"이선균,조진웅,신정근",,3900000,6.591064607,봄,2014
94,스파이,2013-09-05,24513098305,3436092,785,72805,15,코믹,"설경구,문소리,다니엘 헤니",,6400000,6.806179974,가을,2013
95,그것만이 내 세상,2018-01-17,27444801382,3418091,956,95416,12,드라마,"이병헌,윤여정,박정민",,815000,5.9111576087,겨울,2018
96,이끼,2010-07-14,25437344000,3350311,740,58200,19,공포,"박해일,정재영,유준상",,524000,5.719331287,여름,2010
97,한반도,2006-07-13,20597497600,3331593,483,49539,15,드라마,"조재현,차인표,안성기",,21300000,7.3283796034,여름,2006
98,포화속으로,2010-06-16,23831968600,3330326,742,80093,12,사극,"탑,차승원,권상우",,414000,5.6170003411,여름,2010
99,아이 캔 스피크,2017-09-21,25535723986,3280841,1140,93047,12,드라마,"나문희,이제훈,박철민",,425000,5.6283889301,가을,2017
100,공공의 적 2,2005-01-27,20091142000,3134424,299,40643,15,액션,"설경구,정준호,강신일",,333000,5.5224442335,겨울,2005
