지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 전운량(1/10)
108,2017-07-01,25.3,22.4,30.7,.5,9.4
108,2017-07-02,24.3,21.9,26.8,92,10
108,2017-07-03,24.7,21.9,27.4,67.5,9.9
108,2017-07-04,26.7,23.8,31.6,.5,6.5
108,2017-07-05,27.4,23.3,32.6,,4.8
108,2017-07-06,27.6,23.9,34.6,34,7.1
108,2017-07-07,26.4,24.4,28.4,16.5,9.5
108,2017-07-08,26,24.6,27.6,4.5,9.9
108,2017-07-09,26.3,23.8,30.3,32.5,9.6
108,2017-07-10,24,22.6,25.4,144.5,10
108,2017-07-11,26,22.2,30.9,1,8.8
108,2017-07-12,27.1,24.9,31.1,0,6.1
108,2017-07-13,27.6,23.1,32.1,,2.6
108,2017-07-14,28.7,26.1,33,0,7
108,2017-07-15,25,23.4,27.3,42.5,10
108,2017-07-16,26.2,23.4,28.8,22.5,9.4
108,2017-07-17,26.8,24,29,7.5,9.1
108,2017-07-18,26.5,23.9,30.7,2.5,7.4
108,2017-07-19,28.3,24.5,34.1,,5.9
108,2017-07-20,29.9,26,34.9,,2.4
108,2017-07-21,29.8,27.3,32.4,,8.6
108,2017-07-22,29.3,27.5,32.5,.5,9.5
108,2017-07-23,27,26.1,28.1,133.5,9.8
108,2017-07-24,26.2,25.6,27.3,3,9.4
108,2017-07-25,29.4,24.6,35.4,,4.3
108,2017-07-26,28.7,24.2,32.8,,3.5
108,2017-07-27,27.1,24.9,29.7,3.5,9.4
108,2017-07-28,25.5,24.8,26.9,8.5,9.6
108,2017-07-29,27.2,25,30.1,0,7.5
108,2017-07-30,27.9,24.7,32.6,,7.9
108,2017-07-31,25.7,24.8,27.1,3.5,9.6
